common_name,n
KWANZAN FLOWERING CHERRY,10529
PISSARD PLUM,8692
NORWAY MAPLE,5614
CRIMEAN LINDEN,4427
PYRAMIDAL EUROPEAN HORNBEAM,3409
NIGHT PURPLE LEAF PLUM,3250
RED MAPLE,2806
KOBUS MAGNOLIA,2688
BOWHALL RED MAPLE,2622
AKEBONO FLOWERING CHERRY,2384
COMMON HORSECHESTNUT,2249
HEDGE MAPLE,2141
KATSURA TREE,2027
EUROPEAN BEECH,2001
ARMSTRONG RED MAPLE,1876
COLUMNAR NORWAY MAPLE,1823
AMERICAN ELM,1800
SYCAMORE MAPLE,1782
JAPANESE FLOWERING CRABAPPLE,1689
PACIFIC SUNSET MAPLE,1655
REDBUD CRABAPPLE,1613
AUTUMN APPLAUSE ASH,1494
PIN OAK,1466
RED OAK,1399
GLOBEHEAD NORWAY MAPLE,1376
JAPANESE SNOWBELL,1361
FLOWERING ASH,1360
LAVALLEI HYBRID HAWTHORN,1346
TREE LILAC,1294
CHANTICLEER PEAR,1252
EUROPEAN HORNBEAM,1238
WORPLESDON SWEETGUM,1228
EUROPEAN WHITE BIRCH,1199
LONDON PLANE TREE,1117
WESTERN RED CEDAR,1098
DAWYCK'S BEECH,1038
ENGLISH OAK,1011
QUEEN ELIZABETH MAPLE,998
AUTUMN BLAZE RED MAPLE,958
BASSWOOD,945
VANESSA PERSIAN IRONWOOD,939
PERSIAN IRONWOOD,926
LITTLE-LEAF LINDEN,900
EUROPEAN ASH,826
RED SUNSET RED MAPLE,815
UKON JAPANESE CHERRY,811
AUTUMN FLAME RED MAPLE,807
FREEMAN'S S.S. MAPLE,779
THORNLESS HONEYLOCUST,774
GOLDEN DAWYCK BEECH,748
DOUGLAS FIR,733
EMERALD QUEEN NORWAY MAPLE,693
ENGLISH HAWTHORN,675
OCTOBER GLORY RED MAPLE,673
PATMORE ASH,648
PRINCETON GOLD MAPLE,619
ARISTOCRAT PEAR,607
BLOODGOOD PLANE TREE,607
TULIPTREE,604
RAYWOOD ASH,598
MAZZARD CHERRY,582
MORGAN RED MAPLE,551
SAWTOOTH OAK,526
PINK PERFECTION CHERRY,522
RANCHO SARGENT CHERRY,513
PAPERBARK MAPLE,510
TUPELO,504
JAPANESE DOGWOOD,499
JAPANESE FLOWERING CHERRY,482
MAGNOLIA 'GALAXY',478
PACIFIC DOGWOOD,478
EDDIES WHITE WONDER DOGWOOD,474
AMERICAN SWEETGUM,468
WASHINGTON HAWTHORN,465
GOLDEN WHITEBEAM,456
BRANDON ELM,446
OSAKAZUKI JAPANESE MAPLE,433
WHITE ASH,425
TOBA HAWTHORN,420
LAWSON CYPRESS/PORT ORFORD CED,414
PYRAMIDAL ENGLISH OAK,408
EASTERN REDBUD,401
BIGLEAF MAPLE,398
CARDINAL ROYAL MOUNTAIN ASH,397
DAWN REDWOOD,395
SHIROFUGEN CHERRY,378
COMMON CATALPA,374
AMERICAN HORNBEAM,371
SCHWEDLER NORWAY MAPLE,371
JAPANESE MAPLE,360
SCARLET OAK,351
SUMMIT ASH,335
FRANZ FONTAINE HORNBEAM,330
CRIMSON KING NORWAY MAPLE,329
SILVER VARIEGATED NORWAY MAPLE,320
WILLOW OAK,316
BLACK LOCUST,301
PURPLE HAZE JAPANESE PLUM,301
